355.03104,1.141,1
157.01418,1.149,2
126.02772,1.15,3
447.91228,1.15,4
466.91606,1.154,5
464.91475,1.154,6
509.07465,1.18,7
232.00992,1.181,8
169.08642,1.199,9
331.06703,1.201,10
187.02437,1.217,11
161.04554,1.28,12
182.04585,1.316,13
187.02451,1.32,14
363.09236,1.325,15
331.067,1.328,16
394.06248,1.345,17
361.07753,1.359,18
243.05075,1.367,19
297.11884,1.369,20
213.00447,1.379,21
303.07185,1.389,22
271.04573,1.408,23
332.0705,1.436,24
297.11894,1.445,25
273.06117,1.449,26
424.07311,1.455,27
170.01729,1.461,28
243.05114,1.47,29
361.07758,1.477,30
331.06709,1.477,31
394.06269,1.488,32
271.04584,1.489,33
445.06064,1.493,34
85.0295,1.531,35
243.05083,1.532,36
213.00394,1.535,37
129.01919,1.538,38
273.06162,1.542,39
147.06625,1.553,40
374.12717,1.572,41
331.1015,1.576,42
297.11888,1.578,43
168.04067,1.587,44
321.07446,1.589,45
309.11925,1.594,46
350.07242,1.595,47
333.07633,1.595,48
345.09567,1.598,49
438.12489,1.599,50
299.09005,1.6,51
225.04034,1.604,52
159.02964,1.61,53
224.00228,1.623,54
171.06622,1.627,55
471.17182,1.65,56
334.0777,1.653,57
168.0415,1.653,58
379.08257,1.661,59
129.01908,1.669,60
111.04528,1.683,61
423.11238,1.691,62
372.11481,1.691,63
345.09551,1.696,64
311.12448,1.696,65
405.13496,1.703,66
381.17635,1.703,67
59.01375,1.708,68
117.05573,1.709,69
153.0194,1.715,70
465.16139,1.717,71
309.11932,1.74,72
419.15567,1.745,73
155.03476,1.746,74
299.0902,1.751,75
87.04503,1.781,76
131.03511,1.781,77
461.14316,1.787,78
632.13125,1.794,79
488.16199,1.804,80
267.10859,1.855,81
345.09475,1.895,82
167.0348,1.897,83
423.11233,1.898,84
279.10847,1.946,85
438.12501,1.951,86
167.03468,1.976,87
523.13063,1.987,88
493.12003,2.02,89
181.05037,2.082,90
153.01935,2.089,91
